date,entry_time,direction,entry,sl,tp,exit_price,result,position_size,pnl_usd,account_balance
2025-03-14,2025-03-14 14:00:00+00:00,short,2.3263,2.3378354999999997,2.2916935,2.3378354999999997,loss,3332.0072930989686,-38.43637012954289,1883.3821363476015
2025-03-16,2025-03-16 14:00:00+00:00,long,2.2839,2.2703274,2.3246177999999995,2.3246177999999995,win,2775.270967018296,113.0029281808561,1996.3850645284576
2025-03-18,2025-03-18 14:00:00+00:00,long,2.2391,2.2273704,2.2742888000000008,2.2433,session_close,3404.012182049548,14.296851164608038,2010.6819156930658
2025-03-19,2025-03-19 14:00:00+00:00,short,2.5664,2.5713687999999997,2.5514936,2.5514936,win,8093.229414317793,120.64091494158394,2131.3228306346496
2025-03-20,2025-03-20 14:00:00+00:00,long,2.5059,2.4963012,2.5346964,2.4963012,loss,4440.810998530327,-42.626456612692984,2088.6963740219567
2025-03-21,2025-03-21 14:00:00+00:00,long,2.3749,2.3694281999999998,2.3913154,2.3694281999999998,loss,7634.403209261839,-41.773927480439134,2046.9224465415175
2025-03-22,2025-03-22 14:00:00+00:00,short,2.3829,2.3887864,2.3652407999999996,2.3652407999999996,win,6954.751449243999,122.81534679249107,2169.7377933340085
2025-03-23,2025-03-23 14:00:00+00:00,short,2.4166,2.4242217999999998,2.3937346,2.3937346,win,5693.504928846301,130.1842676000405,2299.922060934049
2025-03-24,2025-03-24 14:00:00+00:00,short,2.4644,2.467465,2.4552050000000003,2.4552050000000003,win,15007.6480321967,137.99532365604296,2437.9173845900923
2025-03-28,2025-03-28 14:00:00+00:00,long,2.1906,2.18781,2.19897,2.19897,win,17476.110283799506,146.27504307540553,2584.1924276654977
2025-03-29,2025-03-29 14:00:00+00:00,long,2.1326,2.1275703000000004,2.147689099999999,2.1275703000000004,loss,10275.731863394061,-51.68384855330995,2532.508579112188
2025-03-31,2025-03-31 14:00:00+00:00,long,2.0958,2.0762217,2.1545349000000003,2.1107,session_close,2587.0566689775737,38.547144367765625,2571.0557234799535
2025-04-01,2025-04-01 14:00:00+00:00,short,2.1359,2.1558536999999998,2.0760389000000004,2.1558536999999998,loss,2577.0215283180287,-51.42111446959907,2519.6346090103543
2025-04-02,2025-04-02 14:00:00+00:00,long,2.124,2.1119859,2.1600423,2.1119859,loss,4194.462521554421,-50.392692180207085,2469.241916830147
2025-04-03,2025-04-03 14:00:00+00:00,short,1.9955,2.0108087999999995,1.9495736000000017,2.0108087999999995,loss,3225.911785156557,-49.38483833660295,2419.857078493544
2025-04-04,2025-04-04 14:00:00+00:00,short,2.107,2.1395373999999996,2.009387800000002,2.1395373999999996,loss,1487.4311275600323,-48.39714156987088,2371.459936923673
2025-04-05,2025-04-05 14:00:00+00:00,short,2.1423,2.1489467999999996,2.1223596000000016,2.1223596000000016,win,7135.644029980888,142.2875962154204,2513.7475331390933
2025-04-06,2025-04-06 14:00:00+00:00,long,2.0509,2.0426553000000003,2.075634099999999,2.075634099999999,win,6097.850820864791,150.8248519883456,2664.572385127439
2025-04-07,2025-04-07 14:00:00+00:00,long,1.8689,1.8524457,1.9182628999999998,1.9182628999999998,win,3238.75507937433,159.87434310764635,2824.446728235085
