ts,symbol,side,entry,tp,sl,exit,result,pnl,balance
2024-01-21 14:30:00+00:00,BTC/USDT,SELL,41793.5,41544.0,41883.5,41544.0,TP,2.653866809019699e+21,4.2493779166467724e+21
2024-01-21 14:45:00+00:00,BTC/USDT,SELL,41778.1,41544.0,41883.5,41544.0,TP,5.66288066577034e+21,9.912258582417112e+21
2024-01-21 15:00:00+00:00,BTC/USDT,SELL,41818.0,41544.0,41883.5,41544.0,TP,2.4879012380906457e+22,3.479127096332357e+22
2024-01-21 15:15:00+00:00,BTC/USDT,SELL,41730.1,41544.0,41883.5,41544.0,TP,2.5324597886340563e+22,6.011586884966413e+22
2024-01-21 18:15:00+00:00,BTC/USDT,SELL,41704.8,41516.0,41880.9,41516.0,TP,3.867078718506595e+22,9.878665603473008e+22
2024-01-21 18:30:00+00:00,BTC/USDT,SELL,41687.3,41516.0,41880.9,41516.0,TP,5.244469270273661e+22,1.512313487374667e+23
2024-01-21 19:45:00+00:00,BTC/USDT,SELL,41721.2,41516.0,41880.9,41516.0,TP,1.1659113122452177e+23,2.6782247996198846e+23
2024-01-21 20:00:00+00:00,BTC/USDT,SELL,41727.8,41516.0,41880.9,41516.0,TP,2.2230490368105998e+23,4.9012738364304845e+23
2024-01-21 20:15:00+00:00,BTC/USDT,SELL,41728.3,41516.0,41880.9,41516.0,TP,4.0912467974084514e+23,8.992520633838936e+23
2024-01-21 20:30:00+00:00,BTC/USDT,SELL,41716.3,41516.0,41880.9,41516.0,TP,6.565741979190696e+23,1.5558262613029633e+24
2024-01-21 21:15:00+00:00,BTC/USDT,SELL,41712.4,41516.0,41880.9,41516.0,TP,1.088062709981855e+24,2.6438889712848184e+24
2024-01-21 21:30:00+00:00,BTC/USDT,SELL,41696.3,41516.0,41880.9,41516.0,TP,1.549381955111585e+24,4.193270926396403e+24
2024-01-21 21:45:00+00:00,BTC/USDT,SELL,41781.8,41516.0,41880.9,41516.0,TP,6.748161930794305e+24,1.0941432857190709e+25
2024-01-21 22:00:00+00:00,BTC/USDT,SELL,41745.9,41500.0,41880.9,41500.0,TP,1.1957770398147604e+25,2.2899203255338312e+25
2024-01-21 22:15:00+00:00,BTC/USDT,SELL,41697.3,41500.0,41880.9,41500.0,TP,1.4764747719863894e+25,3.7663950975202205e+25
2024-01-21 22:30:00+00:00,BTC/USDT,SELL,41706.7,41500.0,41880.9,41500.0,TP,2.681448450025485e+25,6.447843547545706e+25
2024-01-24 00:45:00+00:00,BTC/USDT,SELL,40166.9,38545.0,40247.0,40247.0,SL,-3.868706128527424e+25,2.5791374190182818e+25
2024-01-24 07:15:00+00:00,BTC/USDT,SELL,40095.8,38545.0,40247.0,40247.0,SL,-1.5474824514109692e+25,1.0316549676073125e+25
2024-01-24 07:30:00+00:00,BTC/USDT,SELL,39993.2,38545.0,40247.0,40247.0,SL,-6.189929805643876e+24,4.1266198704292495e+24
2024-01-24 07:45:00+00:00,BTC/USDT,SELL,39979.4,38545.0,40247.0,40247.0,SL,-2.4759719222575496e+24,1.6506479481717e+24
2024-01-24 08:00:00+00:00,BTC/USDT,SELL,40057.0,38545.0,40247.0,40247.0,SL,-9.9038876890302e+23,6.602591792686799e+23
2024-01-24 09:00:00+00:00,BTC/USDT,SELL,40086.3,38545.0,40247.0,40247.0,SL,-3.96155507561208e+23,2.6410367170747194e+23
2024-01-24 09:15:00+00:00,BTC/USDT,SELL,40026.9,38545.0,40247.0,40247.0,SL,-1.5846220302448315e+23,1.0564146868298879e+23
2024-01-24 09:45:00+00:00,BTC/USDT,SELL,40015.6,38545.0,40247.0,40247.0,SL,-6.338488120979327e+22,4.2256587473195515e+22
2024-01-24 10:00:00+00:00,BTC/USDT,SELL,40054.0,38925.6,40560.6,40560.6,SL,-2.5353952483917313e+22,1.6902634989278202e+22
2024-01-24 10:15:00+00:00,BTC/USDT,SELL,40150.2,38925.6,40560.6,40560.6,SL,-1.0141580993566922e+22,6.76105399571128e+21
2024-01-24 10:30:00+00:00,BTC/USDT,SELL,40275.8,38925.6,40560.6,40560.6,SL,-4.056632397426768e+21,2.704421598284512e+21
2024-01-24 10:45:00+00:00,BTC/USDT,SELL,40346.0,38925.6,40560.6,40560.6,SL,-1.6226529589707072e+21,1.0817686393138048e+21
2024-01-24 11:00:00+00:00,BTC/USDT,SELL,40180.1,38925.6,40560.6,40560.6,SL,-6.490611835882829e+20,4.3270745572552186e+20
2024-01-24 11:15:00+00:00,BTC/USDT,SELL,40206.4,38925.6,40560.6,40560.6,SL,-2.596244734353131e+20,1.7308298229020875e+20
2024-01-24 11:30:00+00:00,BTC/USDT,SELL,40131.1,38925.6,40560.6,40560.6,SL,-1.0384978937412526e+20,6.923319291608349e+19
2024-01-24 11:45:00+00:00,BTC/USDT,SELL,40195.2,38925.6,40560.6,40560.6,SL,-4.15399157496501e+19,2.7693277166433395e+19
2024-01-24 12:00:00+00:00,BTC/USDT,SELL,40234.0,38983.0,40560.6,40560.6,SL,-1.6615966299860038e+19,1.1077310866573357e+19
2024-01-24 12:15:00+00:00,BTC/USDT,SELL,40181.2,38983.0,40560.6,40560.6,SL,-6.646386519944014e+18,4.430924346629343e+18
2024-01-24 12:30:00+00:00,BTC/USDT,SELL,40196.4,38983.0,40560.6,40560.6,SL,-2.658554607977606e+18,1.772369738651737e+18
2024-01-24 12:45:00+00:00,BTC/USDT,SELL,40030.4,38983.0,40560.6,40560.6,SL,-1.0634218431910423e+18,7.089478954606948e+17
2024-01-24 13:00:00+00:00,BTC/USDT,SELL,40043.8,38983.0,40560.6,40560.6,SL,-4.253687372764169e+17,2.835791581842779e+17
2024-01-24 13:15:00+00:00,BTC/USDT,SELL,40075.2,38983.0,40560.6,40560.6,SL,-1.7014749491056675e+17,1.1343166327371114e+17
2024-01-24 14:30:00+00:00,BTC/USDT,SELL,40066.2,39031.3,40560.6,40560.6,SL,-6.805899796422669e+16,4.537266530948445e+16
2024-01-24 15:00:00+00:00,BTC/USDT,SELL,40012.3,39031.3,40560.6,40560.6,SL,-2.722359918569067e+16,1.8149066123793776e+16
2024-01-24 15:15:00+00:00,BTC/USDT,SELL,40011.1,39031.3,40560.6,40560.6,SL,-1.0889439674276264e+16,7259626449517512.0
2024-01-24 15:30:00+00:00,BTC/USDT,SELL,40089.4,39031.3,40560.6,40560.6,SL,-4355775869710507.5,2903850579807004.5
2024-01-24 15:45:00+00:00,BTC/USDT,SELL,40046.7,39031.3,40560.6,40560.6,SL,-1742310347884202.8,1161540231922801.8
2024-01-24 16:15:00+00:00,BTC/USDT,SELL,40044.4,39190.0,40560.6,40560.6,SL,-696924139153681.0,464616092769120.75
2024-01-24 16:30:00+00:00,BTC/USDT,SELL,39991.0,39190.0,40560.6,40560.6,SL,-278769655661472.47,185846437107648.28
2024-01-24 16:45:00+00:00,BTC/USDT,SELL,40186.0,39190.0,40560.6,40560.6,SL,-111507862264588.98,74338574843059.3
2024-01-24 17:00:00+00:00,BTC/USDT,SELL,40083.5,39190.0,40560.6,40560.6,SL,-44603144905835.58,29735429937223.72
2024-01-24 17:15:00+00:00,BTC/USDT,SELL,40081.4,39190.0,40560.6,40560.6,SL,-17841257962334.23,11894171974889.488
2024-01-24 17:30:00+00:00,BTC/USDT,SELL,40173.3,39190.0,40560.6,40560.6,SL,-7136503184933.693,4757668789955.795
2024-01-24 17:45:00+00:00,BTC/USDT,SELL,40131.0,39190.0,40560.6,40560.6,SL,-2854601273973.477,1903067515982.3179
2024-01-24 23:00:00+00:00,BTC/USDT,SELL,39991.0,39493.3,40560.6,40560.6,SL,-1141840509589.3906,761227006392.9272
2024-01-24 23:15:00+00:00,BTC/USDT,SELL,40110.0,39493.3,40560.6,40560.6,SL,-456736203835.75635,304490802557.1709
2024-01-24 23:30:00+00:00,BTC/USDT,SELL,40151.5,39493.3,40560.6,40560.6,SL,-182694481534.30255,121796321022.86835
2024-01-24 23:45:00+00:00,BTC/USDT,SELL,40078.7,39493.3,40560.6,40560.6,SL,-73077792613.72101,48718528409.14734
2024-01-25 00:00:00+00:00,BTC/USDT,SELL,40067.7,39493.3,40560.6,40560.6,SL,-29231117045.488403,19487411363.658936
2024-01-25 00:15:00+00:00,BTC/USDT,SELL,40016.2,39493.3,40560.6,40560.6,SL,-11692446818.19536,7794964545.463575
